ILCE,MAHALLE,Ortalama_Tuketim,Standart_Sapma,Yaz_Ortalama,Kis_Ortalama,Yazlikci_Skoru,Kume_No,Segment_Adi
KARŞIYAKA,LATİFE HANIM,"15,79","7,83","15,82","14,08","1,12",1,Standart Sakinler
KARŞIYAKA,MAVİŞEHİR,"211,53","45,41","216,12","205,51","1,05",3,Yüksek Gelir / Çok Tüketen
KARŞIYAKA,MUSTAFA KEMAL,"118,48","870,17","41,09","32,00","1,28",2,ANOMALİ (Aşırı Tüketim)
KARŞIYAKA,NERGİZ,"9,91","6,39","9,28","8,86","1,05",1,Standart Sakinler
KARŞIYAKA,SANCAKLI,"23,84","15,12","33,83","17,38","1,95",0,Yazlıkçı / Mevsimsel
KARŞIYAKA,TERSANE,"9,86","5,51","9,45","8,95","1,06",1,Standart Sakinler
KARŞIYAKA,TUNA,"9,50","6,19","8,92","8,41","1,06",1,Standart Sakinler
KARŞIYAKA,YALI,"19,56","34,73","16,91","15,34","1,10",1,Standart Sakinler
KARŞIYAKA,YAMANLAR,"13,73","7,77","18,12","11,33","1,60",1,Standart Sakinler
KARŞIYAKA,ZÜBEYDE HANIM,"12,82","5,52","13,04","11,64","1,12",1,Standart Sakinler
KARŞIYAKA,ÖRNEKKÖY,"13,24","5,33","13,54","12,12","1,12",1,Standart Sakinler
KARŞIYAKA,İMBATLI,"13,00","6,26","12,74","11,81","1,08",1,Standart Sakinler
KARŞIYAKA,İNÖNÜ,"29,08","10,94","34,19","25,71","1,33",1,Standart Sakinler
KARŞIYAKA,ŞEMİKLER,"11,29","5,59","11,11","10,14","1,10",1,Standart Sakinler
KEMALPAŞA,AKALAN,"20,43","28,73","25,05","12,30","2,04",0,Yazlıkçı / Mevsimsel
KEMALPAŞA,ANSIZCA,"18,90","8,14","22,40","16,11","1,39",1,Standart Sakinler
KEMALPAŞA,ARMUTLU 85.YIL CUMHURİYET,"10,90","3,46","12,02","9,56","1,26",1,Standart Sakinler
KEMALPAŞA,ARMUTLU HÜRRİYET,"11,30","5,60","12,17","9,53","1,28",1,Standart Sakinler
KEMALPAŞA,ATATÜRK,"11,93","7,20","12,60","9,88","1,28",1,Standart Sakinler
KEMALPAŞA,AŞAĞI YENMİŞ,"18,01","8,69","20,60","17,46","1,18",1,Standart Sakinler
KEMALPAŞA,AŞAĞIKIZILCA,"21,73","10,72","26,51","16,59","1,60",1,Standart Sakinler
KEMALPAŞA,BAYRAMLI,"12,89","5,98","17,41","9,41","1,85",1,Standart Sakinler
